aaa            able        absolute      absolutely        abundant         abusive 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.017167382 
lift          lifted           light        lighting          lights            like 
0.004291845     0.004291845     0.085836910     0.012875536     0.004291845     0.150214592 
liked          likely          liking         limited            limo            line 
0.042918455     0.004291845     0.004291845     0.025751073     0.008583691     0.017167382 
lined          linens           lines            link          listed          listen 
0.008583691     0.008583691     0.004291845     0.008583691     0.004291845     0.008583691 
lit       literally          little         livable            live           lived 
0.004291845     0.008583691     0.133047210     0.004291845     0.008583691     0.004291845 
lively          living              ll            load          loaded         loading 
0.012875536     0.004291845     0.047210300     0.004291845     0.004291845     0.008583691 
loads          loaned           lobby       locacated           local          locale 
0.004291845     0.004291845     0.051502146     0.004291845     0.042918455     0.004291845 
located        location       locations            lock           locks         lodging 
0.171673820     0.390557940     0.008583691     0.004291845     0.004291845     0.004291845 
loggers         logging            logo            logs          lonely            long 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.055793991 
longer            look          looked         looking           looks         looming 
0.017167382     0.025751073     0.030042918     0.064377682     0.008583691     0.004291845 
loosing            lose             lot            lots            loud          lounge 
0.004291845     0.004291845     0.098712446     0.090128755     0.008583691     0.008583691 
love           loved          lovely           lover          lovers           loves 
0.042918455     0.064377682     0.034334764     0.004291845     0.004291845     0.004291845 
lower            luck         luckily           lucky         luggage           lumpy 
0.004291845     0.004291845     0.008583691     0.004291845     0.060085837     0.004291845 
lunch       luxurious          luxury               m         machine        machines 
0.004291845     0.008583691     0.004291845     0.025751073     0.012875536     0.004291845 
macy            maid            mail          mailed            main      maintained 
0.004291845     0.004291845     0.004291845     0.004291845     0.034334764     0.008583691 
maintaining           major            make           maker           makes          making 
0.004291845     0.017167382     0.085836910     0.025751073     0.030042918     0.030042918 
mall             man       managable         managed         manager          manner 
0.012875536     0.012875536     0.004291845     0.012875536     0.008583691     0.004291845 
manually             map           maple            maps        marathon           march 
0.004291845     0.008583691     0.004291845     0.012875536     0.004291845     0.004291845 
mardi         marilyn          marine         mariner        mariners           mario 
0.004291845     0.004291845     0.004291845     0.021459227     0.021459227     0.004291845 
mark          marked          market          martin         martini       marvelous 
0.004291845     0.004291845     0.266094421     0.004291845     0.004291845     0.004291845 
mass         massage         massive           match         matched      mattresses 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
maybe       mccormick         mcdicks            meal           meals            mean 
0.021459227     0.004291845     0.004291845     0.025751073     0.021459227     0.004291845 
meaning           means           meant            meat        mediocre            meet 
0.004291845     0.008583691     0.004291845     0.004291845     0.008583691     0.008583691 
meeting            melt          member      membership       memorable          memory 
0.017167382     0.004291845     0.017167382     0.004291845     0.017167382     0.004291845 
men          mental         mention       mentioned            menu            meny 
0.008583691     0.004291845     0.012875536     0.008583691     0.004291845     0.004291845 
mess           messy             met           metro              mi         michael 
0.004291845     0.004291845     0.012875536     0.008583691     0.004291845     0.012875536 
micheal       michellis             mid          middle        midnight         midweek 
0.004291845     0.004291845     0.012875536     0.034334764     0.004291845     0.004291845 
mike            mile           miles            milk     millworkers             min 
0.012875536     0.008583691     0.017167382     0.008583691     0.004291845     0.008583691 
mind         minimal           minor           mints         minuses          minute 
0.017167382     0.004291845     0.008583691     0.004291845     0.004291845     0.068669528 
minutes          mirror      mismatched            miss          missed         missing 
0.051502146     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
missions      mistakenly             mkt              ml        mobility           model 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
modern          modest           moldy          moment          monday           money 
0.047210300     0.004291845     0.004291845     0.012875536     0.004291845     0.038626609 
monorail           month          months         morning        mornings           motel 
0.025751073     0.008583691     0.004291845     0.111587983     0.008583691     0.004291845 
mother          motion         mounted           moved          moving              mt 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
muddy          muffin         muffins       multitude        murdered          museum 
0.004291845     0.004291845     0.030042918     0.004291845     0.004291845     0.064377682 
music           names          narrow        national          native          nature 
0.017167382     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
navigate      navigating             ncl              nd            near          nearby 
0.004291845     0.004291845     0.004291845     0.030042918     0.098712446     0.094420601 
nearer         nearest          nearly       necessary     necessities            need 
0.008583691     0.004291845     0.004291845     0.012875536     0.008583691     0.098712446 
needed          needle        needless           needs        negative       negatives 
0.060085837     0.051502146     0.004291845     0.030042918     0.025751073     0.004291845 
negotiating    neighborhood   neighborhoods            neon           nerve      neutrogena 
0.004291845     0.047210300     0.004291845     0.004291845     0.004291845     0.004291845 
new            news             nfl            nice          nicely           nicer 
0.051502146     0.004291845     0.004291845     0.291845494     0.042918455     0.008583691 
nicest           niche           night       nightcaps       nightmare          nights 
0.008583691     0.004291845     0.287553648     0.004291845     0.004291845     0.184549356 
nite           noise          noises          noisey         noisier           noisy 
0.004291845     0.098712446     0.008583691     0.004291845     0.004291845     0.038626609 
non            noon          normal           north           notch            note 
0.012875536     0.004291845     0.008583691     0.012875536     0.008583691     0.008583691 
notice         noticed             nov              nt          number        numerous 
0.012875536     0.012875536     0.008583691     0.004291845     0.021459227     0.004291845 
nuts         oatmeal        obliging     obnoxiously     observation       obtrusive 
0.004291845     0.004291845     0.004291845     0.004291845     0.008583691     0.008583691 
obvious       obviously      occidental        occupied           ocean         october 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
odd        oddities           oddly            odor           offer         offered 
0.004291845     0.004291845     0.004291845     0.004291845     0.030042918     0.038626609 
offerings          offers     offhandedly          office            offs              oh 
0.004291845     0.012875536     0.004291845     0.012875536     0.004291845     0.017167382 
ok            okay             old           older          oldest            omit 
0.021459227     0.012875536     0.227467811     0.047210300     0.008583691     0.004291845 
ones          online          onsite            open          opened          opener 
0.012875536     0.021459227     0.008583691     0.034334764     0.021459227     0.004291845 
opera       operating         opinion        opposite             opt           opted 
0.004291845     0.004291845     0.017167382     0.012875536     0.004291845     0.004291845 
option         options          orange         oranges           order          oregon 
0.008583691     0.017167382     0.004291845     0.004291845     0.012875536     0.004291845 
organised       organized       orginally        original      originally         orleans 
0.008583691     0.004291845     0.004291845     0.025751073     0.017167382     0.008583691 
os        outdated           outdo         outdoor          outfit         outlets 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
outs         outside     outstanding      outweighed         overall      overcharge 
0.004291845     0.047210300     0.034334764     0.004291845     0.060085837     0.004291845 
overcrowded        overhead        overlook      overlooked     overlooking          overly 
0.004291845     0.004291845     0.004291845     0.008583691     0.012875536     0.004291845 
overnight        overnite      overpriced       overrated      overseeing       oversized 
0.012875536     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
overwhelmed             owl           owner          oyster         oysters               p 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.008583691 
pace           paced         pacific            pack         package        packaged 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
paid           paied            pain           palms       pampering           paned 
0.025751073     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
panelled       panelling     panhandlers     panhandling           paper           paris 
0.004291845     0.004291845     0.012875536     0.008583691     0.004291845     0.004291845 
park         parkade          parked         parkeed         parkinf         parking 
0.055793991     0.008583691     0.017167382     0.004291845     0.004291845     0.163090129 
parks    participated      particular   particularily    particularly         partner 
0.008583691     0.004291845     0.004291845     0.004291845     0.012875536     0.004291845 
parts        partying            pass          passes            past        pastries 
0.017167382     0.004291845     0.008583691     0.008583691     0.025751073     0.017167382 
pastry             pat         patient           patio         patrons             pav 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
pay           payed          paying              pc            peak          people 
0.030042918     0.004291845     0.017167382     0.004291845     0.004291845     0.111587983 
perceived         perched         perfect       perfectly          period          person 
0.004291845     0.004291845     0.098712446     0.025751073     0.030042918     0.051502146 
personable        personal    personalized      personally       personnel         persons 
0.004291845     0.008583691     0.004291845     0.004291845     0.021459227     0.012875536 
persuade            pets      phenomenal    philadelphia        phillips             pho 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.012875536 
phone          phoned           photo          photos         picasso            pick 
0.017167382     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
picked          pickup           picky         picture        pictures            pier 
0.012875536     0.004291845     0.004291845     0.004291845     0.008583691     0.051502146 
piers             pig            pike           pikes          pillow         pillows 
0.017167382     0.004291845     0.218884120     0.042918455     0.004291845     0.034334764 
pink        pioneers         pionner         pipping           pizza           place 
0.004291845     0.004291845     0.008583691     0.004291845     0.008583691     0.261802575 
placed          places            plan          planet         planned         planner 
0.004291845     0.051502146     0.021459227     0.008583691     0.012875536     0.004291845 
planning         plastic          plates           plaza        pleasant      pleasantly 
0.004291845     0.004291845     0.004291845     0.004291845     0.098712446     0.008583691 
pleased        pleasure       plentiful          plenty       plesantly           plugs 
0.017167382     0.017167382     0.004291845     0.051502146     0.004291845     0.004291845 
plumbing          pluses           plush              pm           point           poles 
0.004291845     0.004291845     0.004291845     0.038626609     0.008583691     0.004291845 
police        policies          polite            pool            poor         popular 
0.004291845     0.004291845     0.021459227     0.017167382     0.008583691     0.008583691 
port        portions        portland           ports        positive      positively 
0.012875536     0.004291845     0.004291845     0.004291845     0.021459227     0.004291845 
possibility        possible        possibly          posted             pot       potential 
0.004291845     0.012875536     0.008583691     0.008583691     0.012875536     0.004291845 
pots           power       practical     practically             pre         precise 
0.004291845     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
prefer       preferred        prepared       presented       preserved        pressure 
0.008583691     0.004291845     0.012875536     0.004291845     0.008583691     0.004291845 
pretentious          pretty        previous      previously            prey           price 
0.004291845     0.025751073     0.004291845     0.004291845     0.004291845     0.158798283 
priced       priceline          prices          pricey            prim        princess 
0.034334764     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
print         printed         printer           prior         private      priveleges 
0.008583691     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
privelidges        probably         problem     problematic        problems    professional 
0.004291845     0.017167382     0.030042918     0.004291845     0.021459227     0.030042918 
promised          prompt        promptly      properties        property      proportion 
0.012875536     0.004291845     0.008583691     0.004291845     0.012875536     0.004291845 
propositioned         protein           proud          proved         provide        provided 
0.004291845     0.008583691     0.004291845     0.004291845     0.017167382     0.025751073 
provider        provides       providing       proximity              ps             psh 
0.004291845     0.030042918     0.008583691     0.025751073     0.004291845     0.008583691 
pub          public            pubs           puget            pull          pulled 
0.025751073     0.077253219     0.030042918     0.004291845     0.017167382     0.004291845 
purchased      purchasing         purpose            puts          quaint         quality 
0.004291845     0.004291845     0.004291845     0.004291845     0.047210300     0.030042918 
qualm        quantity           queen         queries           quest       questions 
0.004291845     0.004291845     0.012875536     0.004291845     0.012875536     0.038626609 
quick         quickly           quiet         quieter        quietest         quietly 
0.025751073     0.008583691     0.150214592     0.012875536     0.004291845     0.008583691 
quintet          quirks           quite           qwest          rachel            rack 
0.004291845     0.004291845     0.081545064     0.030042918     0.004291845     0.004291845 
racking            rail         railway            rain          rained          rainer 
0.004291845     0.064377682     0.012875536     0.004291845     0.008583691     0.004291845 
raining           rains           raise          raised            ramp             ran 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
randy           range            rare            rate           rated           rates 
0.004291845     0.008583691     0.008583691     0.051502146     0.012875536     0.021459227 
rating              rd           reach         reached            read         reading 
0.012875536     0.004291845     0.008583691     0.004291845     0.017167382     0.008583691 
ready            real         realize        realized          really     reaquainted 
0.038626609     0.025751073     0.004291845     0.008583691     0.103004292     0.004291845 
reason      reasonable      reasonably       reccomend reccomendations         receipe 
0.008583691     0.051502146     0.025751073     0.004291845     0.008583691     0.004291845 
receive        received          recent        recently      receommend       reception 
0.008583691     0.025751073     0.004291845     0.025751073     0.004291845     0.021459227 
recieved   recomandaiton        recomend       recommend  recommendation recommendations 
0.004291845     0.004291845     0.004291845     0.154506438     0.004291845     0.017167382 
recommended    recommending   reconstituted        recourse             red          redone 
0.030042918     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
refitted       refitting      refreshing          refund      refundable     refurbished 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.017167382 
register            regn          regret      relatively           relax         relaxed 
0.008583691     0.004291845     0.004291845     0.012875536     0.012875536     0.004291845 
relaxing        reliable        relieved       remainder       remaining        remember 
0.012875536     0.004291845     0.004291845     0.004291845     0.008583691     0.012875536 
reminded         reminds       remodeled      rennovated       renovated          renown 
0.008583691     0.008583691     0.025751073     0.004291845     0.021459227     0.004291845 
rent          rental         rentals          rented      repeatedly     replacement 
0.008583691     0.017167382     0.004291845     0.008583691     0.004291845     0.004291845 
replacing       replenish     replenished          report         request       requested 
0.004291845     0.004291845     0.004291845     0.004291845     0.021459227     0.008583691 
requests         require        required     requirement    requirements          rescue 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
reservation    reservations         reserve        reserved       resonable       responded 
0.017167382     0.021459227     0.004291845     0.004291845     0.004291845     0.004291845 
responsibility            rest     restaraunts      restauants      restaurant     restaurants 
0.004291845     0.030042918     0.004291845     0.004291845     0.077253219     0.197424893 
restocked     restoration        restored      restraunts    restrictions restuarantright 
0.004291845     0.008583691     0.021459227     0.004291845     0.004291845     0.004291845 
retained         retains         retired      retirement      retrieving          return 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.060085837 
returned       returning         reunion        revelery          review       reviewers 
0.017167382     0.021459227     0.004291845     0.004291845     0.004291845     0.004291845 
reviews            ride           rides          riding           right            ritz 
0.025751073     0.068669528     0.004291845     0.004291845     0.154506438     0.004291845 
road         roaming         roasted            rode        rollaway         rolling 
0.021459227     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
rolls        romantic            room           rooms           roomy       rosemarie 
0.012875536     0.017167382     0.579399142     0.300429185     0.008583691     0.004291845 
rough           round           route          routes             row            rude 
0.008583691     0.004291845     0.017167382     0.004291845     0.012875536     0.008583691 
run         running            runs            rush            russ               s 
0.021459227     0.004291845     0.008583691     0.017167382     0.004291845     0.283261803 
sacrificing             sad           sadly            safe          safeco           safer 
0.004291845     0.004291845     0.004291845     0.038626609     0.072961373     0.008583691 
safety            said           salon          saloon             sam             san 
0.004291845     0.047210300     0.004291845     0.012875536     0.004291845     0.017167382 
sandwich      sandwiches             sat       satisfied        saturday         sausage 
0.004291845     0.004291845     0.004291845     0.017167382     0.008583691     0.004291845 
save           saved           saver          saving         savings             saw 
0.008583691     0.012875536     0.004291845     0.012875536     0.008583691     0.008583691 
say            says            scam            scan          scarce          scared 
0.060085837     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
schmick          school       scrambled          screen         screens         screwed 
0.004291845     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
sculpture             sea         seafood         seahawk        seahawks        seamless 
0.004291845     0.025751073     0.021459227     0.008583691     0.025751073     0.004291845 
searched       searching          season            seat          seatac          seater 
0.004291845     0.004291845     0.004291845     0.004291845     0.021459227     0.004291845 
second          secret         section          secure        security           seedy 
0.042918455     0.004291845     0.021459227     0.025751073     0.004291845     0.012875536 
seeing            seen          select       selection      selections            self 
0.017167382     0.012875536     0.004291845     0.030042918     0.004291845     0.008583691 
sellers           sells            send           sense       sensitive            sent 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.008583691 
separate      separately            sept       september       seriously         serivce 
0.004291845     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
serve          served          serves         service        serviced        services 
0.017167382     0.025751073     0.004291845     0.193133047     0.008583691     0.004291845 
serving             set         setting         settled           seven         severed 
0.012875536     0.008583691     0.004291845     0.004291845     0.004291845     0.004291845 
shady         shallow         shampoo        shampoos           shape          shaped 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.012875536 
share          shared         shaving           sheer         shelter        shelters 
0.012875536     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
sheraton            ship         shipped            shoe           shoes           shone 
0.004291845     0.017167382     0.008583691     0.004291845     0.004291845     0.004291845 
shop        shopping           shops       shoreline           short          showed 
0.012875536     0.051502146     0.085836910     0.004291845     0.090128755     0.012875536 
shower         showers         showing           shows         shuttle       shutttles 
0.047210300     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
sight          sights     sightseeing            sign     significant           signs 
0.021459227     0.012875536     0.017167382     0.004291845     0.004291845     0.004291845 
similar          simple          simply       simularly          single         singles 
0.008583691     0.017167382     0.012875536     0.004291845     0.021459227     0.004291845 
sink          sirens          sister             sit            site           sites 
0.004291845     0.004291845     0.004291845     0.004291845     0.025751073     0.012875536 
sitting        situated       situation            size           sized         sketchy 
0.012875536     0.008583691     0.004291845     0.047210300     0.017167382     0.012875536 
skid         skidded          skills            skip     skyscrapers           sleep 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.034334764 
sleeper        sleeping           slept         slighly          slight        slightly 
0.004291845     0.008583691     0.017167382     0.004291845     0.004291845     0.004291845 
slipping       sloooooow            slow           small        smallest        smallish 
0.004291845     0.004291845     0.021459227     0.175965665     0.012875536     0.004291845 
smalltown           smell           smile          smiles         smiling           smith 
0.004291845     0.012875536     0.021459227     0.008583691     0.004291845     0.012875536 
smoking          smooth          snacks           sneak        sneaking           snobs 
0.012875536     0.012875536     0.012875536     0.004291845     0.004291845     0.004291845 
soap           soaps            sofa            soft        somewhat             son 
0.004291845     0.008583691     0.004291845     0.008583691     0.021459227     0.012875536 
sons            soon           soooo           sorts            soul           sound 
0.004291845     0.012875536     0.004291845     0.008583691     0.004291845     0.021459227 
sounded        sounders         soundly          sounds          source           south 
0.008583691     0.004291845     0.004291845     0.012875536     0.004291845     0.012875536 
southeast       southwest        souvenir             spa           space          spaces 
0.004291845     0.004291845     0.004291845     0.004291845     0.081545064     0.012875536 
spacious       sparkling           spcae           speak        speaking         special 
0.077253219     0.004291845     0.004291845     0.004291845     0.008583691     0.012875536 
specific    specifically     spectacular           speed          speedy           spend 
0.004291845     0.004291845     0.021459227     0.012875536     0.004291845     0.017167382 
spending           spent           spice          spiffy           spill         spilled 
0.004291845     0.042918455     0.004291845     0.004291845     0.004291845     0.004291845 
splashing      splendidly         splurge           spoke          spooky        sporting 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
sports            spot        spotless      spotlessly           spots          spouse 
0.017167382     0.021459227     0.021459227     0.008583691     0.017167382     0.004291845 
spray          spread          spring          sprung            spur              sq 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
squat         squeeze              st          stadia         stadium        stadiums 
0.004291845     0.004291845     0.047210300     0.004291845     0.025751073     0.055793991 
staff         staffed          staffs         stained       staircase      staircases 
0.618025751     0.004291845     0.004291845     0.008583691     0.012875536     0.004291845 
stairs        stairway       stairways           stale        standard       standards 
0.017167382     0.004291845     0.004291845     0.004291845     0.008583691     0.008583691 
standing          stands            star       starbucks           stars           start 
0.004291845     0.004291845     0.017167382     0.021459227     0.008583691     0.038626609 
starting           state          states         station            stay          stayed 
0.004291845     0.017167382     0.008583691     0.133047210     0.454935622     0.326180258 
staying           stays           steep         steeply            step         stepped 
0.094420601     0.012875536     0.008583691     0.004291845     0.017167382     0.004291845 
steps             stn         stocked          stones            stop         stopped 
0.004291845     0.004291845     0.012875536     0.008583691     0.042918455     0.008583691 
stops         storage           store          stored          stores         stories 
0.017167382     0.008583691     0.034334764     0.012875536     0.017167382     0.008583691 
story        straight         strange    strawberries          street         streets 
0.012875536     0.008583691     0.004291845     0.012875536     0.227467811     0.012875536 
streetview        stressed       stretched       strolling          strong        strongly 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
structure           stuck         studios           stuff         sturgis           style 
0.004291845     0.008583691     0.004291845     0.004291845     0.004291845     0.055793991 
suburban           sucks        suffered      sufficient         suggest       suggested 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
suggestion     suggestions        suitable       suitcases           suite         summary 
0.004291845     0.017167382     0.012875536     0.004291845     0.008583691     0.004291845 
summer             sun          sunday         sundays           sunny           super 
0.008583691     0.008583691     0.021459227     0.004291845     0.004291845     0.034334764 
superb         suppose        supposed      supposedly        suprised       surcharge 
0.008583691     0.008583691     0.008583691     0.004291845     0.004291845     0.004291845 
sure            surf        surprise       surprised      surprising    surprisingly 
0.047210300     0.004291845     0.038626609     0.021459227     0.004291845     0.004291845 
surrounded     surrounding    surroundings           sushi      suspicious             swa 
0.004291845     0.012875536     0.008583691     0.004291845     0.004291845     0.004291845 
sweet           swift       synthetic           syrup               t           table 
0.004291845     0.004291845     0.004291845     0.008583691     0.296137339     0.008583691 
tables             tac             tad           taken          taking            talk 
0.017167382     0.021459227     0.004291845     0.025751073     0.008583691     0.004291845 
talked         talking         tallest      tapestried           taste        tasteful 
0.008583691     0.008583691     0.004291845     0.004291845     0.004291845     0.004291845 
tastefully           tasty             tat             tax            taxi          taxies 
0.004291845     0.017167382     0.004291845     0.004291845     0.038626609     0.004291845 
taxis             tea            teas      television            tell            temp 
0.012875536     0.004291845     0.008583691     0.008583691     0.008583691     0.004291845 
temped   temperamental       temporary            tend            term       termianal 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
terminal        terrible        terribly        terrific    testosterone              th 
0.030042918     0.017167382     0.004291845     0.030042918     0.004291845     0.042918455 
thai           thaks           thank      thankfully          thanks           thats 
0.004291845     0.004291845     0.034334764     0.004291845     0.008583691     0.004291845 
thay        theaters           theme      thepioneer           thing          things 
0.004291845     0.004291845     0.004291845     0.004291845     0.021459227     0.072961373 
think        thinking         thirsty         thissal        thorough      thoroughly 
0.047210300     0.004291845     0.004291845     0.004291845     0.004291845     0.017167382 
thought        thoughts      threatened       throughly           throw             ths 
0.034334764     0.004291845     0.004291845     0.004291845     0.012875536     0.004291845 
thursday        thwarted          ticket         tickets            tidy             til 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.008583691 
tiles            till          timber            time           times            tiny 
0.004291845     0.004291845     0.004291845     0.145922747     0.047210300     0.017167382 
tip            tips           tired        tiresome           toast          toasts 
0.008583691     0.004291845     0.017167382     0.004291845     0.034334764     0.004291845 
toasty          toilet      toiletries            told         toleave        tolerate 
0.004291845     0.008583691     0.004291845     0.042918455     0.004291845     0.004291845 
ton            tons            took      toothpaste         torking    torrefazione 
0.004291845     0.008583691     0.072961373     0.004291845     0.004291845     0.004291845 
total         totally           totem           touch         touched            tour 
0.012875536     0.017167382     0.004291845     0.021459227     0.004291845     0.128755365 
toured         touring         tourist        tourists        touristy           tours 
0.004291845     0.008583691     0.021459227     0.012875536     0.008583691     0.021459227 
tow          towels           tower            town         towncar             toy 
0.004291845     0.030042918     0.021459227     0.068669528     0.004291845     0.004291845 
traditional         traffic           train            tram        transfer       transient 
0.004291845     0.042918455     0.077253219     0.004291845     0.004291845     0.004291845 
transistion         transit       transport  transportation          travel        traveled 
0.004291845     0.034334764     0.017167382     0.060085837     0.042918455     0.012875536 
travelers       traveling       travelled       traveller      travellers      travelling 
0.008583691     0.030042918     0.008583691     0.004291845     0.012875536     0.004291845 
travels     treacherous           treat         treated            tree             tri 
0.004291845     0.004291845     0.008583691     0.017167382     0.008583691     0.004291845 
trial           trick           tried      triggering       trimmings            trip 
0.004291845     0.004291845     0.021459227     0.004291845     0.004291845     0.137339056 
tripadvisor           trips         trolley         tromped         trouble          trucks 
0.012875536     0.021459227     0.012875536     0.004291845     0.017167382     0.004291845 
true           truly           trust             try          trying             tub 
0.012875536     0.012875536     0.008583691     0.021459227     0.025751073     0.021459227 
tuesday          tuning          tunnel          turkey            turn          turned 
0.004291845     0.004291845     0.017167382     0.004291845     0.012875536     0.025751073 
turning           turns              tv           twice            twin           twins 
0.008583691     0.004291845     0.034334764     0.008583691     0.008583691     0.004291845 
twisted        twisting            type           types         typical       typically 
0.004291845     0.004291845     0.012875536     0.004291845     0.012875536     0.004291845 
uber           uique              uk      ultimately        umbrella       umbrellas 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
unable      unattended    unbelievably    uncomforable   uncomfortable        uncommon 
0.008583691     0.004291845     0.004291845     0.004291845     0.021459227     0.004291845 
underground      underrated      understand   unexceptional   unfortunately       uniformly 
0.137339056     0.004291845     0.004291845     0.004291845     0.012875536     0.004291845 
union          unique            unit          united      university          unless 
0.004291845     0.012875536     0.012875536     0.004291845     0.004291845     0.004291845 
unlike          unload       unloading     unobtrusive      unpleasant unpresposessing 
0.012875536     0.008583691     0.008583691     0.008583691     0.004291845     0.004291845 
unsafe        untended        unusable         unusual       unusually          upbeat 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
updated        updating         upgrade        upgraded          uphill           urban 
0.025751073     0.004291845     0.008583691     0.060085837     0.021459227     0.004291845 
urine            urns             usa             use            used           using 
0.004291845     0.004291845     0.004291845     0.055793991     0.021459227     0.012875536 
usual         usually      utilikilts       uwajimaya        vacation        vacinity 
0.030042918     0.008583691     0.004291845     0.004291845     0.017167382     0.004291845 
vagrants           value             van       vancouver         variety         various 
0.008583691     0.064377682     0.008583691     0.025751073     0.021459227     0.012875536 
ve         vehicle          velvet          venues         verdict         viaduct 
0.047210300     0.004291845     0.004291845     0.008583691     0.004291845     0.012875536 
vicinity        victoria       victorian            view         viewing           views 
0.008583691     0.021459227     0.008583691     0.124463519     0.004291845     0.004291845 
vintage           vinyl           visit         visited        visiting          visits 
0.008583691     0.004291845     0.068669528     0.025751073     0.017167382     0.017167382 
vist              vs               w          waffle         waffles          waflfe 
0.004291845     0.004291845     0.012875536     0.047210300     0.150214592     0.004291845 
wait         waiting            wake          waking            walk        walkable 
0.021459227     0.034334764     0.012875536     0.004291845     0.304721030     0.004291845 
walked         walking           walks            wall           walls            wamu 
0.120171674     0.274678112     0.004291845     0.012875536     0.008583691     0.004291845 
wandering            want          wanted         wanting           wants        wardrobe 
0.004291845     0.077253219     0.072961373     0.008583691     0.008583691     0.004291845 
warf            warm         warming          warmly          warmth            wary 
0.004291845     0.025751073     0.008583691     0.004291845     0.004291845     0.004291845 
washington            wasn            wasy           watch           water      waterfront 
0.021459227     0.034334764     0.004291845     0.021459227     0.085836910     0.188841202 
way            ways            wear         wearing           weary         weather 
0.128755365     0.008583691     0.004291845     0.004291845     0.008583691     0.017167382 
web         website         wedding            week         weekday         weekend 
0.004291845     0.012875536     0.008583691     0.021459227     0.004291845     0.038626609 
weekends           weeks          weight           weird         welcome        welcomed 
0.004291845     0.004291845     0.004291845     0.004291845     0.038626609     0.004291845 
welcoming           wendy            went           weren            west        westerns 
0.012875536     0.004291845     0.064377682     0.004291845     0.017167382     0.008583691 
westlake           wharf      whatsoever         wheeled            whim         whipped 
0.004291845     0.008583691     0.004291845     0.004291845     0.008583691     0.004291845 
white      whitehouse              wi            wide            wife            wifi 
0.004291845     0.004291845     0.021459227     0.017167382     0.017167382     0.038626609 
willing          window         windows            wine           wines          winner 
0.021459227     0.038626609     0.021459227     0.017167382     0.008583691     0.004291845 
winter        wireless            wise            wish             wit            woke 
0.004291845     0.034334764     0.004291845     0.021459227     0.004291845     0.004291845 
woman           women             won       wonderful     wonderfully            wood 
0.008583691     0.008583691     0.025751073     0.115879828     0.017167382     0.012875536 
wooden        woodland        woodwork            word           words            work 
0.008583691     0.004291845     0.008583691     0.004291845     0.004291845     0.038626609 
worked         working           works       workspace           world            worn 
0.021459227     0.008583691     0.008583691     0.004291845     0.025751073     0.004291845 
worried           worse           worst           worth      worthwhile          worthy 
0.004291845     0.008583691     0.008583691     0.055793991     0.004291845     0.004291845 
wouldn         wounldn           write          writes           wrote          xplore 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
yards            year           years          yelled             yes          yesler 
0.008583691     0.055793991     0.034334764     0.004291845     0.021459227     0.021459227 
