aaa            able        absolute      absolutely        abundant         abusive 
staying           stays           steep         steeply            step         stepped 
22               3               2               1               4               1 
steps             stn         stocked          stones            stop         stopped 
1               1               3               2              10               2 
stops         storage           store          stored          stores         stories 
4               2               8               3               4               2 
story        straight         strange    strawberries          street         streets 
3               2               1               3              53               3 
streetview        stressed       stretched       strolling          strong        strongly 
1               1               1               1               1               2 
structure           stuck         studios           stuff         sturgis           style 
1               2               1               1               1              13 
suburban           sucks        suffered      sufficient         suggest       suggested 
1               1               1               1               1               2 
suggestion     suggestions        suitable       suitcases           suite         summary 
1               4               3               1               2               1 
summer             sun          sunday         sundays           sunny           super 
2               2               5               1               1               8 
superb         suppose        supposed      supposedly        suprised       surcharge 
2               2               2               1               1               1 
sure            surf        surprise       surprised      surprising    surprisingly 
11               1               9               5               1               1 
surrounded     surrounding    surroundings           sushi      suspicious             swa 
1               3               2               1               1               1 
sweet           swift       synthetic           syrup               t           table 
1               1               1               2              69               2 
tables             tac             tad           taken          taking            talk 
4               5               1               6               2               1 
talked         talking         tallest      tapestried           taste        tasteful 
2               2               1               1               1               1 
tastefully           tasty             tat             tax            taxi          taxies 
1               4               1               1               9               1 
taxis             tea            teas      television            tell            temp 
3               1               2               2               2               1 
temped   temperamental       temporary            tend            term       termianal 
1               1               1               1               1               1 
terminal        terrible        terribly        terrific    testosterone              th 
7               4               1               7               1              10 
thai           thaks           thank      thankfully          thanks           thats 
1               1               8               1               2               1 
thay        theaters           theme      thepioneer           thing          things 
1               1               1               1               5              17 
think        thinking         thirsty         thissal        thorough      thoroughly 
11               1               1               1               1               4 
thought        thoughts      threatened       throughly           throw             ths 
8               1               1               1               3               1 
thursday        thwarted          ticket         tickets            tidy             til 
1               1               1               2               1               2 
tiles            till          timber            time           times            tiny 
1               1               1              34              11               4 
tip            tips           tired        tiresome           toast          toasts 
2               1               4               1               8               1 
toasty          toilet      toiletries            told         toleave        tolerate 
1               2               1              10               1               1 
ton            tons            took      toothpaste         torking    torrefazione 
1               2              17               1               1               1 
total         totally           totem           touch         touched            tour 
3               4               1               5               1              30 
toured         touring         tourist        tourists        touristy           tours 
1               2               5               3               2               5 
tow          towels           tower            town         towncar             toy 
1               7               5              16               1               1 
traditional         traffic           train            tram        transfer       transient 
1              10              18               1               1               1 
transistion         transit       transport  transportation          travel        traveled 
1               8               4              14              10               3 
travelers       traveling       travelled       traveller      travellers      travelling 
2               7               2               1               3               1 
travels     treacherous           treat         treated            tree             tri 
1               1               2               4               2               1 
trial           trick           tried      triggering       trimmings            trip 
1               1               5               1               1              32 
tripadvisor           trips         trolley         tromped         trouble          trucks 
3               5               3               1               4               1 
true           truly           trust             try          trying             tub 
3               3               2               5               6               5 
tuesday          tuning          tunnel          turkey            turn          turned 
1               1               4               1               3               6 
turning           turns              tv           twice            twin           twins 
2               1               8               2               2               1 
twisted        twisting            type           types         typical       typically 
1               1               3               1               3               1 
uber           uique              uk      ultimately        umbrella       umbrellas 
1               1               1               1               1               2 
unable      unattended    unbelievably    uncomforable   uncomfortable        uncommon 
2               1               1               1               5               1 
underground      underrated      understand   unexceptional   unfortunately       uniformly 
32               1               1               1               3               1 
union          unique            unit          united      university          unless 
1               3               3               1               1               1 
unlike          unload       unloading     unobtrusive      unpleasant unpresposessing 
3               2               2               2               1               1 
unsafe        untended        unusable         unusual       unusually          upbeat 
2               1               1               1               1               1 
updated        updating         upgrade        upgraded          uphill           urban 
6               1               2              14               5               1 
urine            urns             usa             use            used           using 
1               1               1              13               5               3 
usual         usually      utilikilts       uwajimaya        vacation        vacinity 
7               2               1               1               4               1 
vagrants           value             van       vancouver         variety         various 
2              15               2               6               5               3 
ve         vehicle          velvet          venues         verdict         viaduct 
11               1               1               2               1               3 
vicinity        victoria       victorian            view         viewing           views 
2               5               2              29               1               1 
vintage           vinyl           visit         visited        visiting          visits 
2               1              16               6               4               4 
vist              vs               w          waffle         waffles          waflfe 
1               1               3              11              35               1 
wait         waiting            wake          waking            walk        walkable 
5               8               3               1              71               1 
walked         walking           walks            wall           walls            wamu 
28              64               1               3               2               1 
wandering            want          wanted         wanting           wants        wardrobe 
1              18              17               2               2               1 
warf            warm         warming          warmly          warmth            wary 
1               6               2               1               1               1 
washington            wasn            wasy           watch           water      waterfront 
5               8               1               5              20              44 
way            ways            wear         wearing           weary         weather 
30               2               1               1               2               4 
web         website         wedding            week         weekday         weekend 
1               3               2               5               1               9 
weekends           weeks          weight           weird         welcome        welcomed 
1               1               1               1               9               1 
welcoming           wendy            went           weren            west        westerns 
3               1              15               1               4               2 
westlake           wharf      whatsoever         wheeled            whim         whipped 
1               2               1               1               2               1 
white      whitehouse              wi            wide            wife            wifi 
1               1               5               4               4               9 
willing          window         windows            wine           wines          winner 
5               9               5               4               2               1 
winter        wireless            wise            wish             wit            woke 
1               8               1               5               1               1 
woman           women             won       wonderful     wonderfully            wood 
2               2               6              27               4               3 
wooden        woodland        woodwork            word           words            work 
2               1               2               1               1               9 
worked         working           works       workspace           world            worn 
5               2               2               1               6               1 
worried           worse           worst           worth      worthwhile          worthy 
1               2               2              13               1               1 
wouldn         wounldn           write          writes           wrote          xplore 
2               1               1               1               1               1 
yards            year           years          yelled             yes          yesler 
2              13               8               1               5               5 
yessler              yo         yoghurt          yogurt            york           young 
1               1               1              10               1               3 
younger              yr             yum            zone             zoo 
1               1               1               8               1 
